Updating at:2019-04-28 15:38:14.182155
New Reviews found:{}
Updating at:2019-04-28 15:40:13.371269
New Reviews found:{}
Updating at: 2019-04-28 19:44:02.907277
New Reviews found: {}
Updating at: 2019-04-28 19:46:03.206978
New Reviews found: {}
Updating at: 2019-04-28 19:48:03.449581
New Reviews found: {}
Updating at: 2019-04-28 19:50:03.644020
New Reviews found: {}
Updating at: 2019-04-28 19:52:02.865222
New Reviews found: {}
Updating at: 2019-04-28 19:54:03.112186
New Reviews found: {}
Updating at: 2019-04-28 19:56:03.303440
New Reviews found: {}
Updating at: 2019-04-28 19:58:03.488482
New Reviews found: {}
Updating at: 2019-04-28 20:00:12.585717
New Reviews found: {'1u6v3Jmyd7wqKHZzUFT60A': ['Yelp', 'CoreLife Eatery', '4/26/2019', 'The food I ordered from here was INEDBILE.I also ordered a "stake plate" and almost threw up at the gamey smell that hit my nose after opening the cover, also the "salad" was just a couple pieces of undressed lettuce. Highly recommend not getting food from here.', 1, 0, '594kvUIZoNGj3TuG1afb4w']}
Updating at: 2019-04-28 20:02:12.410370
New Reviews found: {}
Updating at: 2019-04-28 20:04:12.297821
New Reviews found: {}
Updating at: 2019-04-28 20:06:13.210134
New Reviews found: {}
Updating at: 2019-04-28 20:08:13.094904
New Reviews found: {}
Updating at: 2019-04-28 20:10:12.947794
New Reviews found: {}
Updating at: 2019-04-28 20:12:13.011707
New Reviews found: {}
Updating at: 2019-04-28 20:14:12.586837
New Reviews found: {}
Updating at: 2019-04-28 20:16:13.626834
New Reviews found: {}
Updating at: 2019-04-28 20:18:12.404851
New Reviews found: {}
Updating at: 2019-04-28 20:20:13.250686
New Reviews found: {}
Updating at: 2019-04-28 20:22:14.124943
New Reviews found: {}
Updating at: 2019-04-28 20:24:12.458405
New Reviews found: {}
Updating at: 2019-04-28 20:26:12.492260
New Reviews found: {}
Updating at: 2019-04-28 20:28:12.916105
New Reviews found: {}
Updating at: 2019-04-28 20:30:13.348649
New Reviews found: {}
Updating at: 2019-04-28 20:32:12.878525
New Reviews found: {}
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
  File "/home/hduser1/Restuarant_Review/dbms.py", line 21, in read_data
    with open(path,'rb') as f:
FileNotFoundError: [Errno 2] No such file or directory: 'YelpData.txt'
Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/dbms.py", line 33, in initialize_yelp
    return pd.read_hdf('yelp.hdf','yelp_df')
  File "/usr/local/lib/python3.6/dist-packages/pandas/io/pytables.py", line 366, in read_hdf
    'File {path} does not exist'.format(path=path_or_buf))
FileNotFoundError: File yelp.hdf does not exist

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/home/hduser1/Restuarant_Review/UpdateYelp.py", line 4, in <module>
    df = dbms.initialize_yelp()
  File "/home/hduser1/Restuarant_Review/dbms.py", line 35, in initialize_yelp
    big_list = read_data('YelpData.txt')
